Time (min),C (md.ft),Inj. P (psi)
926.01,92.67,21.2
927.01,94.03,21.2
928.01,92.39,21.2
929.01,93.72,21.2
930.01,94.33,21.2
931.01,94.61,21
932.01,94.47,21.2
933.01,91.31,21.2
934.01,94.45,21.2
935.01,94.21,21.2
936.01,93.56,21.2
937.01,94.69,21.2
938.01,93.38,21
939.01,94.09,21.2
940.01,93.39,21.2
941.01,96.98,21
942.01,93.21,21.2
943.01,95.84,21
944.01,94.22,21.2
945.01,94.05,21.2
946.01,93.43,21
947.01,93.07,21.2
948.01,92.28,21.2
949.01,93.92,21
950.01,94.05,21.2
951.01,93.46,21.2
952.01,92.82,21
953.01,92.72,21.2
954.01,92.72,21
955.01,94.53,21.2
956.01,95.1,21.2
957.01,93.36,21
958.01,93.68,21.2
959.01,93.29,21.2
960.01,94.26,21.2
961.01,93.85,21.2
962.01,93.98,21.2
963.01,92.44,21.2
964.01,92.23,21
965.01,95.04,21
966.01,94.2,21
967.01,93.24,21.2
968.01,93.68,21.2
969.01,92.32,21.2
970.01,94.13,21.2
971.01,95.16,21.2
972.01,91.62,21
973.01,92.71,21.2
974.01,92.84,21.2
975.01,94.88,21
976.01,94.51,21.2
977.01,94.21,21
978.01,95.94,21
979.01,93.3,21
980.01,93.68,21.2
981.01,94,21.2
982.01,93.05,21
983.01,93.91,21
984.01,93.93,21.2
985.01,94.69,21.2
986.01,93.65,21.2
987.01,93.78,21
988.01,93.64,21.2
989.01,94.75,21
990.01,94.09,21.2
991.01,94.15,21.2
992.01,94.69,21.2
993.01,95.02,21
994.01,96.06,21.2
995.01,93.94,21
996.01,94.58,21
997.01,94.71,21
998.01,95.56,21
999.01,94.76,21
1000.01,95.14,21.2
1001.01,95.24,21
1002.01,95.37,21
1003.01,96.12,21
1004.01,94.85,21
1005.01,93.07,21
1006.01,92.98,21
1007.01,93.71,21
1008.01,94.27,21
1009.01,95.18,21
1010.01,93.59,21.2
1011.01,94.32,21
1012.01,94.86,21
1013.01,94.7,21
1014.01,94.03,21
1015.01,93.5,21
1016.01,94.09,21
1017.01,93.5,21
1018.01,94.49,21
1019.01,94.09,21.2
1020.01,94.37,21.2
1021.01,93.32,21
1022.01,97.53,21
1023.01,94.96,21
1024.01,93.22,21
1025.01,93.68,21
1026.01,95.3,21
1027.01,93.71,21
1028.01,93.16,21.2
1029.01,93.75,21
1030.01,95.01,21
1031.01,94.85,21
1032.01,92.5,21
1033.01,92.57,21
1034.01,94.81,21
1035.01,94.86,21
1036.01,94.5,21
1037.01,96.71,21
1038.01,94,21
1039.01,93.69,21
1040.01,93.55,21
1041.01,93.34,21
1042.01,94.23,21
1043.01,94.47,21
1044.01,92.74,21
1045.01,93.56,21
1046.01,94.59,21
1047.01,94.65,21
1048.01,92.29,21
1049.01,95.34,21.2
1050.01,96.84,21
1051.01,93.8,21
1052.01,95.7,21
1053.01,95.22,21
1054.01,94.33,21
1055.01,93.78,21
1056.01,94.65,21
1057.01,94.87,21
1058.01,93.07,21
1059.01,95.73,21.2
1060.01,95.01,21
1061.01,95.9,21
1062.01,98.27,21
1063.01,95.49,21
1064.01,96.49,21
1065.01,94.93,21
1066.01,96.69,21
1067.01,95.8,21
1068.01,95.76,21
1069.01,96.01,21
1070.01,97.53,21
1071.01,95.27,21
1072.01,95.38,21
1073.01,95.25,21
1074.01,94.47,20.8
1075.01,95.21,21
1076.01,95.19,21
1077.01,96.55,21
1078.01,96.91,21
1079.01,95.75,21
1080.01,94.18,21
1081.01,95.36,21
1082.01,96.6,21
1083.01,95.05,21
1084.01,94.46,21
1085.01,93.26,21
1086.01,95.9,21
1087.01,95.36,21
1088.01,95.7,21
1089.01,96.59,21
1090.01,95.15,21
1091.01,94.22,20.8
1092.01,94.59,21
1093.01,94.92,21
1094.01,93.5,21
1095.01,94.75,21
1096.01,95.42,21
1097.01,95.67,21
1098.01,92.66,21
1099.01,94.84,21
1100.01,95.91,20.8
1101.01,95.14,20.8
1102.01,94.51,21
1103.01,95.01,21
1104.01,93.96,21
